Bilhetes,Status_Geral,Área Resp. Operação,Obs. Operação,Setor,Ponto de venda,Código Iata
5232618818,Pendente de Lançamento (Não Consta),Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618822,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618823,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618824,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618825,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618826,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618827,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618830,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618831,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618832,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618833,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618834,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618835,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618836,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618837,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618838,Pendente de Lançamento (Não Consta),Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618839,Pendente de Lançamento (Não Consta),Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618840,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
5232618841,Emitido e Lançado,Jaime Schnaider,,Unique,São Paulo,57-53501-5
2204140957,Pendente de Lançamento (Não Consta),Jaime Schnaider,,Unique,São Paulo,57-53501-5
2204612967,Pendente de Lançamento (Não Consta),Jaime Schnaider,,Unique,São Paulo,57-53501-5
4477611245,Pendente de Lançamento (Não Consta),Jaime Schnaider,,Unique,São Paulo,57-53501-5
2300467680,Pendente de Lançamento (Não Consta),Fabiano Souza,,Concierge/Lazer,São Paulo,57-53504-1
2300976422,Emitido e Lançado,Fabiano Souza,,Concierge/Lazer,São Paulo,57-53504-1
2300992812,Emitido e Lançado,Fabiano Souza,,Concierge/Lazer,São Paulo,57-53504-1
2300997308,Emitido e Lançado,Fabiano Souza,,Concierge/Lazer,São Paulo,57-53504-1
2301001349,Emitido e Lançado,Fabiano Souza,,Concierge/Lazer,São Paulo,57-53504-1
2301001867,Emitido e Lançado,Fabiano Souza,,Concierge/Lazer,São Paulo,57-53504-1
2301002784,Pendente de Lançamento (Não Consta),Fabiano Souza,,Concierge/Lazer,São Paulo,57-53504-1
2301006887,Emitido e Lançado,Fabiano Souza,,Concierge/Lazer,São Paulo,57-53504-1
2301010633,Emitido e Lançado,Fabiano Souza,,Concierge/Lazer,São Paulo,57-53504-1
2301012159,Emitido e Lançado,Fabiano Souza,,Concierge/Lazer,São Paulo,57-53504-1
2301012992,Pendente de Lançamento (Não Consta),Fabiano Souza,,Concierge/Lazer,São Paulo,57-53504-1
2202105828,Emitido e Lançado,Fabiano Souza,,Concierge/Lazer,São Paulo,57-53504-1
2203371227,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-53517-0
2204456500,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-53533-2
2204619198,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-53533-2
2300676363,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-53533-2
2301055703,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-53533-2
3996260089,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-53533-2
3996260101,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-53533-2
1957913340,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-53545-0
2204454569,Pendente de Lançamento (Não Consta),Keli Santi,,Operação,Porto Alegre,57-54395-3
2204456530,Emitido e Lançado,Keli Santi,,Operação,Porto Alegre,57-54395-3
4477558821,Pendente de Lançamento (Não Consta),Keli Santi,,Operação,Porto Alegre,57-54395-3
2276396475,Emitido e Lançado,Marcelo Pereira,,Operação,Rio de Janeiro,57-54646-2
2204455766,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-54714-0
2203008647,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-54714-0
2301381962,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-54714-0
2301400291,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-54714-0
1952754397,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2202980143,Emitido e Lançado,Rosangela Pallu,,Operação,Curitiba,57-55772-1
2202980152,Emitido e Lançado,Rosangela Pallu,,Operação,Curitiba,57-55772-1
2204457252,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2204457294,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2204457295,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2290856293,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2293754067,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2301455317,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
4476753173,Emitido e Lançado,Rosangela Pallu,,Operação,Curitiba,57-55772-1
4478066535,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
5232513710,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
5232513712,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
5232513714,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
5232513716,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
5232513718,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
5232513721,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
5232513722,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
5232513724,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2201051648,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2201192191,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2202103094,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2202976472,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2204465050,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2300882304,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2301018535,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2301022812,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2301051213,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
2301430590,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
4478070899,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
5232513723,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55772-1
1957926818,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-55903-6
2201033963,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
2202565225,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
2287740891,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
2300902164,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
3996273408,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-55903-6
4477955239,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
4477955240,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
4477955241,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
5232522891,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
5232522926,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
5232522931,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-55903-6
5232617830,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-55903-6
5232617831,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-55903-6
5232617832,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-55903-6
1942450764,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
1952753009,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
2203607711,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
2615416621,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
3996273399,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-55903-6
3996273400,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,São Paulo,57-55903-6
5232522904,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
5232522920,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-55903-6
1948679340,Emitido e Lançado,Rosangela Pallu,,Operação,Curitiba,57-55956-3
2300004748,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55956-3
2300851937,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55956-3
2363576218,Emitido e Lançado,Rosangela Pallu,,Operação,Curitiba,57-55956-3
3996317574,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55956-3
4477147109,Emitido e Lançado,Rosangela Pallu,,Operação,Curitiba,57-55956-3
4477905917,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55956-3
5232456966,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55956-3
5232502770,Emitido e Lançado,Rosangela Pallu,,Operação,Curitiba,57-55956-3
5232502835,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55956-3
5232502837,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55956-3
5232502839,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55956-3
5232502842,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55956-3
5232502845,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55956-3
5232502848,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-55956-3
1957919563,Emitido e Lançado,Rosangela Pallu,,Operação,Curitiba,57-55956-3
1957919564,Emitido e Lançado,Rosangela Pallu,,Operação,Curitiba,57-55956-3
2297300276,Emitido e Lançado,Keli Santi,,Operação,São Paulo,57-56042-5
4477215923,Pendente de Lançamento (Não Consta),Keli Santi,,Operação,São Paulo,57-56042-5
4477216227,Pendente de Lançamento (Não Consta),Keli Santi,,Operação,São Paulo,57-56042-5
4477216228,Pendente de Lançamento (Não Consta),Keli Santi,,Operação,São Paulo,57-56042-5
2203400131,Pendente de Lançamento (Não Consta),Keli Santi,,Operação,São Paulo,57-56042-5
2204311058,Pendente de Lançamento (Não Consta),Keli Santi,,Operação,São Paulo,57-56042-5
2300495957,Pendente de Lançamento (Não Consta),Keli Santi,,Operação,São Paulo,57-56042-5
2300699088,Pendente de Lançamento (Não Consta),Keli Santi,,Operação,São Paulo,57-56042-5
4477076534,Pendente de Lançamento (Não Consta),Keli Santi,,Operação,São Paulo,57-56042-5
4477076535,Pendente de Lançamento (Não Consta),Keli Santi,,Operação,São Paulo,57-56042-5
2204325947,Pendente de Lançamento (Não Consta),Rosangela Pallu,,Operação,Curitiba,57-56134-6
1942456860,Emitido e Lançado,Marcelo Pereira,,Operação,Rio de Janeiro,57-56138-3
2202291791,Emitido e Lançado,Marcelo Pereira,,Operação,Rio de Janeiro,57-56138-3
5232339128,Emitido e Lançado,Marcelo Pereira,,Operação,Rio de Janeiro,57-56138-3
2204254440,Pendente de Lançamento (Não Consta),Marcelo Pereira,,Operação,Rio de Janeiro,57-56138-3
2300691521,Pendente de Lançamento (Não Consta),Marcelo Pereira,,Operação,Rio de Janeiro,57-56138-3
1957924238,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2202774156,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2202967022,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2202967023,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2203005621,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2203085199,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2203091329,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2203095340,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2203144179,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2203347507,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2203366412,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2203372735,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2203378266,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2203860044,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2204052601,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2204052743,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2204052746,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2204053003,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2204457224,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2300073031,Emitido e Lançado,Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2203360493,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2300155172,Emitido e Lançado,Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2300440198,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2301038409,Pendente de Lançamento (Não Consta),Ivanete Bertasol,,Operação,São Paulo,57-56139-4
4477066111,Emitido e Lançado,Ivanete Bertasol,,Operação,São Paulo,57-56139-4
2301050142,Emitido e Lançado,Marcelo Pereira,,Operação,Rio de Janeiro,57-56170-0
2301386298,Pendente de Lançamento (Não Consta),Marcelo Pereira,,Operação,Rio de Janeiro,57-56170-0
2301386928,Pendente de Lançamento (Não Consta),Marcelo Pereira,,Operação,Rio de Janeiro,57-56170-0
2202611368,Pendente de Lançamento (Não Consta),Marcelo Pereira,,Operação,Rio de Janeiro,57-56170-0
2203336299,Pendente de Lançamento (Não Consta),Marcelo Pereira,,Operação,Rio de Janeiro,57-56170-0
2203337497,Pendente de Lançamento (Não Consta),Marcelo Pereira,,Operação,Rio de Janeiro,57-56170-0
2203339890,Pendente de Lançamento (Não Consta),Marcelo Pereira,,Operação,Rio de Janeiro,57-56170-0
4476979169,Emitido e Lançado,Marcelo Pereira,,Operação,Rio de Janeiro,57-56170-0
1948675520,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2200979726,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2200979727,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2200979728,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2200979729,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2200979730,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2201003197,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2201006344,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2201140944,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2201140945,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2201140946,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2201524751,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2201524752,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2201524753,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2201524754,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2201524755,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204157070,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204157071,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204157072,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204157073,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163302,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163303,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163304,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163305,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163306,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163307,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163308,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163309,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163310,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163311,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163312,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163313,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163314,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163315,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163316,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163317,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163318,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163319,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163320,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163321,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163322,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163323,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163324,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163325,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163326,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163327,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163328,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163329,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163330,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163331,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163332,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163333,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163334,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163335,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163336,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163337,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163338,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163339,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163340,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163341,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163342,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163343,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163344,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163345,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204163346,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204284631,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204291158,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204291159,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2204469183,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2293465236,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2293465237,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2293465238,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2293465239,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2293465240,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2300601694,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
4478000323,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
2280597236,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
[2280597236],Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
4472425308,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
4473960405,Pendente de Lançamento (Não Consta),Central de Eventos,,Central de Eventos,São Paulo,57-56513-0
4477132665,Emitido e Lançado,Rosangela Pallu,,Operação,Curitiba,57-57039-1
2300867594,Emitido e Lançado,Central de Eventos,,Central de Eventos,São Paulo,57-57044-6
4477173833,Emitido e Lançado,Marcelo Pereira,,Operação,Rio de Janeiro,57-64486-0
4477592936,Emitido e Lançado,Marcelo Pereira,,Operação,Rio de Janeiro,57-64486-0
1957919690,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
1957919692,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
1957919695,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
2142082134,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
2142531066,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
2615329584,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
3996281686,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
3996342880,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
3996342885,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
4133281831,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
5232134492,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
5232581957,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
5232581968,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
5232581972,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
5232581974,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
5232581999,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
3996281708,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
3996281733,Pendente de Lançamento (Não Consta),João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
3996342881,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
3996342882,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
3996342883,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
3996342886,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
5232581969,Emitido e Lançado,João Paulo Sousa,,Operação,Matriz (Barueri),57-75220-3
1957915553,Emitido e Lançado,João Paulo Sousa,,Operação,São Paulo,57-97101-2
2202111509,Emitido e Lançado,Guilherme Silva,,Operação,São Paulo,57-97157-2
2202111510,Emitido e Lançado,Guilherme Silva,,Operação,São Paulo,57-97157-2
2300977741,Pendente de Lançamento (Não Consta),Guilherme Silva,,Operação,São Paulo,57-97157-2
2300977742,Pendente de Lançamento (Não Consta),Guilherme Silva,,Operação,São Paulo,57-97157-2
2300977743,Pendente de Lançamento (Não Consta),Guilherme Silva,,Operação,São Paulo,57-97157-2
2301013436,Pendente de Lançamento (Não Consta),Guilherme Silva,,Operação,São Paulo,57-97157-2
4476466429,Pendente de Lançamento (Não Consta),Guilherme Silva,,Operação,São Paulo,57-97157-2
4477912869,Pendente de Lançamento (Não Consta),Guilherme Silva,,Operação,São Paulo,57-97157-2
2300609949,Pendente de Lançamento (Não Consta),Guilherme Silva,,Operação,São Paulo,57-97157-2
